Titulo|Visualizações|Gosteis|Não Gosteis|Comentarios|Data De Publicação|Link
Curso de Java #01 - História do Java - Gustavo Guanabara|2016515|109882|382|3818|2015-03-02T14:00:01Z|https://www.youtube.com/watch?v=sTX0UEplF54
Exercícios de Java #01 - Curso de Java para Iniciantes|671080|28430|249|670|2015-03-04T14:00:01Z|https://www.youtube.com/watch?v=ZBKxhnqX-Q0
Curso de Java #02 - Como Funciona o Java - Gustavo Guanabara|892335|54025|197|950|2015-03-09T14:00:03Z|https://www.youtube.com/watch?v=v_ZCtgwbS3o
Exercícios de Java #02 - Curso de Java para Iniciantes|361633|13276|80|275|2015-03-11T13:30:00Z|https://www.youtube.com/watch?v=bIXDystGxj0
Curso de Java #03 - Instalando o JDK no seu Computador - Gustavo Guanabara|928363|42010|262|2325|2015-03-16T14:00:03Z|https://www.youtube.com/watch?v=yWU5bm_pZzY
Exercícios de Java #03 - Curso de Java para Iniciantes|284009|9267|69|129|2015-03-18T14:00:03Z|https://www.youtube.com/watch?v=gsp1H0-FVGI
Curso de Java #04 - Primeiro Programa em Java - Gustavo Guanabara|986143|39884|225|1251|2015-03-23T14:00:01Z|https://www.youtube.com/watch?v=ijXXaIYsVx4
Exercícios de Java #04 - Curso de Java|300668|11162|54|429|2015-03-25T15:11:38Z|https://www.youtube.com/watch?v=H7Qpt8NRpDw
Curso de Java #05 - Introdução ao Swing e JavaFX|867479|29989|243|1844|2015-03-30T14:00:03Z|https://www.youtube.com/watch?v=cYMruFKwqf0
Exercícios de Java #05 - Curso de Java|183597|6475|39|232|2015-04-01T14:00:00Z|https://www.youtube.com/watch?v=UaTZTP50i08
Curso de Java #06 - Tipos Primitivos e Manipulação de Dados|511628|18013|111|723|2015-04-06T14:00:01Z|https://www.youtube.com/watch?v=JEAQeT7YGs4
Exercícios de Java #06 - Curso de Java|138414|4462|18|238|2015-04-08T13:47:54Z|https://www.youtube.com/watch?v=7XPR-v1Fzjw
Curso de Java #07 - Operadores Aritméticos e Classe Math|300085|11097|56|450|2015-04-13T14:00:00Z|https://www.youtube.com/watch?v=W9V5wtOOZHs
Exercícios de Java #07 - Curso de Java|107543|4454|13|221|2015-04-15T19:31:11Z|https://www.youtube.com/watch?v=dEuQBmHXRnY
Curso de Java #08 - Operadores Lógicos e Relacionais|201840|8419|36|306|2015-04-27T14:00:01Z|https://www.youtube.com/watch?v=xHgnlic7fj8
Exercícios de Java #08 - Curso de Java|85204|3422|15|176|2015-04-29T14:04:58Z|https://www.youtube.com/watch?v=LNECh9RplE0
Curso de Java #09 - Estruturas Condicionais (Parte 1)|181955|7342|39|181|2015-05-04T13:59:19Z|https://www.youtube.com/watch?v=wW3eve4vTMc
Exercícios de Java #09 - Curso de Java|80272|3136|16|158|2015-05-06T14:00:02Z|https://www.youtube.com/watch?v=mGgd1f66kWE
Curso de Java #10 - Estruturas Condicionais (Parte 2)|148134|6144|29|220|2015-05-12T23:03:14Z|https://www.youtube.com/watch?v=oNSrBld06qs
Curso de Java #11 - Estruturas de Repetição (Parte 1)|172637|6848|33|161|2015-05-18T14:00:00Z|https://www.youtube.com/watch?v=2fawKjR8d4c
Exercícios de Java #11 - Curso de Java|64408|2580|6|113|2015-05-20T14:00:03Z|https://www.youtube.com/watch?v=vdAArHfOS9k
Curso de Java #12 - Estruturas de Repetição (Parte 2)|120224|5214|20|105|2015-05-25T14:00:06Z|https://www.youtube.com/watch?v=ojLALwmvQIU
Exercício de Java #12|60484|2505|13|152|2015-05-27T14:00:01Z|https://www.youtube.com/watch?v=sUSnoHiTZ8E
Curso de Java #13 - Estruturas de Repetição (Parte 3)|106762|5032|16|132|2015-06-08T14:00:01Z|https://www.youtube.com/watch?v=XLqPZh6n8IA
Exercícios de Java #13 - Curso de Java|56339|2541|12|88|2015-06-10T14:00:00Z|https://www.youtube.com/watch?v=ZYvGz1h_2MU
Curso de Java #14 - Vetores - Gustavo Guanabara|231602|9126|62|378|2015-06-15T14:00:00Z|https://www.youtube.com/watch?v=KAS94-Lcboc
Exercícios de Java #14 - Curso de Java|64474|2435|38|112|2015-06-17T14:29:28Z|https://www.youtube.com/watch?v=6YxJOIxJyKo
Curso de Java #15 - Métodos|199008|9426|45|375|2015-06-29T14:00:00Z|https://www.youtube.com/watch?v=EuxmbXZCFVQ
Exercícios de Java #15 - Curso de Java|97076|3352|23|242|2015-07-01T14:48:52Z|https://www.youtube.com/watch?v=Fh5s0RUjhmQ
