#,Titulo,Visualizações,Gosteis,Não Gosteis,Comentarios,Duração,Data De Publicação,Link
0,Começa aqui o novo @Curso em Vídeo de HTML5 e CSS3,Começa aqui o novo @Curso em Vídeo de HTML5 e CSS3,1073353,40071,154,816,PT2M24S,2020-10-13T13:30:11Z
1,O que vamos aprender no módulo 01? - @Curso em Vídeo HTML5 + CSS3,O que vamos aprender no módulo 01? - @Curso em Vídeo HTML5 + CSS3,418430,35869,93,660,PT7M52S,2020-10-13T13:45:01Z
2,Precisamos fazer um acordo - @Curso em Vídeo HTML5 e CSS3,Precisamos fazer um acordo - @Curso em Vídeo HTML5 e CSS3,380483,33056,127,1077,PT19M26S,2020-10-13T14:00:04Z
3,Será que este curso é para mim? - @Curso em Vídeo HTML5 e CSS3,Será que este curso é para mim? - @Curso em Vídeo HTML5 e CSS3,266197,23074,75,499,PT15M34S,2020-10-13T14:15:00Z
4,Melhores livros para aprender HTML5 e CSS3 - @Curso em Vídeo HTML5 e CSS3,Melhores livros para aprender HTML5 e CSS3 - @Curso em Vídeo HTML5 e CSS3,294996,20372,81,334,PT20M55S,2020-10-13T14:30:00Z
5,Como a Internet chega na minha casa? - @Curso em Vídeo HTML5 e CSS3,Como a Internet chega na minha casa? - @Curso em Vídeo HTML5 e CSS3,322866,22619,79,464,PT27M1S,2020-10-13T14:45:00Z
6,Como a Internet funciona? - @Curso em Vídeo HTML5 e CSS3,Como a Internet funciona? - @Curso em Vídeo HTML5 e CSS3,297076,20436,64,424,PT22M15S,2020-10-15T14:00:13Z
7,O que é domínio e hospedagem? - @Curso em Vídeo HTML5 e CSS3,O que é domínio e hospedagem? - @Curso em Vídeo HTML5 e CSS3,253084,25835,47,934,PT19M38S,2020-10-19T14:00:15Z
8,A diferença entre HTML/ CSS e JavaScript - @Curso em Vídeo HTML5 e CSS3,A diferença entre HTML, CSS e JavaScript - @Curso em Vídeo HTML5 e CSS3,322411,25934,70,611,PT26M33S,2020-10-20T14:00:13Z
9,Front-end/ Back-end e Full stack - @Curso em Vídeo HTML5 e CSS3,Front-end, Back-end e Full stack - @Curso em Vídeo HTML5 e CSS3,344823,30441,91,931,PT19M22S,2020-10-22T14:00:13Z
10,Instalando todas as ferramentas - @Curso em Vídeo HTML5 e CSS3,Instalando todas as ferramentas - @Curso em Vídeo HTML5 e CSS3,365486,21544,62,606,PT13M44S,2020-10-26T14:00:11Z
11,Seu primeiro código HTML - @Curso em Vídeo HTML5 e CSS3,Seu primeiro código HTML - @Curso em Vídeo HTML5 e CSS3,399978,22791,82,646,PT17M34S,2020-10-27T14:00:12Z
12,Parágrafos e Quebras - @Curso em Vídeo HTML5 e CSS3,Parágrafos e Quebras - @Curso em Vídeo HTML5 e CSS3,267932,16842,51,315,PT10M26S,2020-10-29T14:00:13Z
13,Símbolos e Emoji no seu site - @Curso em Vídeo HTML5 e CSS3,Símbolos e Emoji no seu site - @Curso em Vídeo HTML5 e CSS3,247087,15495,34,430,PT12M59S,2020-11-02T14:00:11Z
