QUALIDADE CONFIABILIDADE SUST.CIENT.(CST)
AVALIAÇÃO GERAL CONTEÚDO DIDÁTICO-METODOLÓGICOS TÉCNICOS CST
Titulo,Visualizações,Gosteis,Não Gosteis,Comentarios,Duração,Data De Publicação,Link,Nome Canal,Inscritos,1.Clareza nos Objetivos,2.Objet.Alcanc.,3.É relevante?,4.Fonte de Inform.,5.Clareza Inform.,6.Viés e Equilíbrio,7.Fontes Adic.de Inform.,8.Refer.Áreas Incert.,9.Comp.Quím.Á.Nucl.Nucleotd.,10.Papel do DNA/RNA,11.Diferenças DNA/RNA,12.Forças.Intermolec.Conform.DNA,13.Influência PH.Temp.Enovelamento e Mudança Conform.Estrutural DNA,14.Contextualização com Cotidiano e Transdiscip.,15.Clareza e Coesão,16.Aproxim.com Aceito na Comun.Científica,17.Recursos eficazes e Duração do Vídeo,18.Edição dos Vídeos,19.Dados Autorais e Produção,20.Interligação Aspectos Técnicos/Didat.Metodol. e de Conteúdo,21.Zooms/Enquad/Visão de Fundo,22.Editado Profissionalmente,23.Qualidade do vídeo como Fonte de Inform.,24.Infor.Claras e Objetivas,25.Fontes Confiáveis de Inform.,26.Inform.Equilibrada e Imparcial,27.Confiabilidade do vídeo como Fonte de Inform.,
Bioquímica - Aula 11 - Ácidos nucleicos,17579,659,19,0,PT25M33S,2018-04-26T22:26:23Z,https://youtu.be/BC_YfoGEHm4,UNIVESP,1210000,5,5,4,3,3,3,1,1,5,2,2,1,1,1,3,1,4,4,3,1,2,4,4,4,4,4,4,
Ácidos nucléicos e nucleotídeos,65,1,0,0,PT18M4S,2020-09-21T18:21:42Z,https://youtu.be/Hi1rwpLvi8g,Fernanda Hart Weber,315,3,3,3,5,3,5,3,2,4,4,4,1,1,2,5,3,5,5,2,4,3,4,5,5,3,4,4,
Parte1:Nucleosídeos/ Nucleotídeos Ácidos Nucleicos.(Videoaula Química Orgânica_Profª.Zilka),130,6,0,0,PT1H13M2S,2021-01-27T16:31:09Z,https://youtu.be/QSa5MzNRhpc,Zilka Nanes Lima,49,5,5,5,4,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
BIOLOGIA | CITOLOGIA - NÚCLEO CELULAR e ÁCIDOS NUCLEICOS,2259,180,3,15,PT23M34S,2020-03-20T01:27:43Z,https://youtu.be/X7SOOc7fjn0,Biologando com a Tia Pri,809,3,3,3,2,2,2,2,2,,3,3,1,0,0,3,2,0,3,4,4,2,4,4,3,1,1,3,
Estrutura e replicação de DNA | Biologia | Khan Academy,78381,2973,48,57,PT14M25S,2017-05-31T11:46:21Z,https://youtu.be/34Jr2U7KwOE,Khan Academy Brasil,565000,5,5,5,5,5,1,1,1,5,5,5,1,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,
Composição Química dos Seres Vivos: nucleotídeos e ácidos nucleicos,126,6,0,2,PT22M5S,2020-04-14T16:48:39Z,https://youtu.be/Q7gJsTu3tlA,Juliane Fernandes,124,5,5,5,5,5,5,4,1,5,5,5,4,1,3,5,4,5,5,3,5,5,4,5,5,3,5,5,
Vídeo 01: Ácidos Nucleicos: Nucleotídeos e Genes,1625,84,0,4,PT25M28S,2020-03-05T19:14:53Z,https://youtu.be/WRXySFFtJDQ,VestCursos Cursos Online,79600,5,5,5,5,5,5,3,1,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,
Ácidos Nucléicos (DAB),12171,137,1,8,PT15M8S,2012-06-09T01:41:39Z,https://youtu.be/mUx1eOS0d0c,Bio Prof. Douglas Albez,5030,5,5,5,5,5,5,4,1,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,3,5,
Ácidos nucléicos,119,10,0,0,PT6M39S,2020-05-08T23:56:35Z,https://youtu.be/Hdk2-o4oW_M,Biologia no Papel,1780,5,5,5,4,5,5,1,1,3,5,5,4,4,3,5,2,5,5,5,5,5,4,5,5,5,5,4,
ÁCÍDOS NUCLÉICOS (ESTRUTURA),2617,111,3,5,PT20M31S,2019-03-20T03:25:31Z,https://youtu.be/_VVwtD8K7us,Airton Junior,4610,5,5,5,5,5,4,4,1,5,5,5,5,4,3,5,4,5,5,5,5,5,5,5,5,5,5,5,
